rental_id,title,transaction_type,property_type,location,city,rent_etb_per_month,rent_currency,bedrooms,bathrooms,parking_spaces,area_m2,furnished,serviced,shared,agent_id,listing_status,verification_status,is_sample,location_accuracy,location_source,latitude,longitude,image_url,description
RENT-DEMO-001,Furnished 1 Bedroom Apartment for Rent – Bole,rent,Apartment,Bole,Addis Ababa,18000,ETB,1,1,1,55,True,True,False,agent_demo_01,sample,unverified_demo,True,approximate,demo_neighborhood_geocode,,,https://images.unsplash.com/photo-1600607687920-4e2a09cf159d?auto=format&fit=crop&w=1200&q=80,"DEMO RENTAL for Medosha testing. 1-bedroom apartment in Bole, Addis Ababa. Sample market-style record; not a verified live rental."
RENT-DEMO-002,Furnished 2 Bedroom Furnished Apartment for Rent – Bole Atlas,rent,Furnished Apartment,Bole Atlas,Addis Ababa,22000,ETB,2,2,2,75,True,False,False,agent_demo_02,sample,unverified_demo,True,approximate,demo_neighborhood_geocode,,,https://images.unsplash.com/photo-1600607687920-4e2a09cf159d?auto=format&fit=crop&w=1200&q=80,"DEMO RENTAL for Medosha testing. 2-bedroom furnished apartment in Bole Atlas, Addis Ababa. Sample market-style record; not a verified live rental."
RENT-DEMO-003,2 Bedroom Condominium for Rent – Bole Medhanialem,rent,Condominium,Bole Medhanialem,Addis Ababa,25000,ETB,2,2,3,86,False,False,False,agent_demo_03,sample,unverified_demo,True,approximate,demo_neighborhood_geocode,,,https://images.unsplash.com/photo-1600607687920-4e2a09cf159d?auto=format&fit=crop&w=1200&q=80,"DEMO RENTAL for Medosha testing. 2-bedroom condominium in Bole Medhanialem, Addis Ababa. Sample market-style record; not a verified live rental."
RENT-DEMO-004,3 Bedroom Serviced Apartment for Rent – Bole Wollo Sefer,rent,Serviced Apartment,Bole Wollo Sefer,Addis Ababa,30000,ETB,3,3,1,95,False,False,False,agent_demo_04,sample,unverified_demo,True,approximate,demo_neighborhood_geocode,,,https://images.unsplash.com/photo-1600607687920-4e2a09cf159d?auto=format&fit=crop&w=1200&q=80,"DEMO RENTAL for Medosha testing. 3-bedroom serviced apartment in Bole Wollo Sefer, Addis Ababa. Sample market-style record; not a verified live rental."
RENT-DEMO-005,Furnished 3 Bedroom Apartment for Rent – Kazanchis,rent,Apartment,Kazanchis,Addis Ababa,35000,ETB,3,3,2,108,True,False,False,agent_demo_05,sample,unverified_demo,True,approximate,demo_neighborhood_geocode,,,https://images.unsplash.com/photo-1600607687920-4e2a09cf159d?auto=format&fit=crop&w=1200&q=80,"DEMO RENTAL for Medosha testing. 3-bedroom apartment in Kazanchis, Addis Ababa. Sample market-style record; not a verified live rental."
RENT-DEMO-006,Furnished 3 Bedroom Villa for Rent – Old Airport,rent,Villa,Old Airport,Addis Ababa,100000,ETB,3,3,3,500,True,False,False,agent_demo_06,sample,unverified_demo,True,approximate,demo_neighborhood_geocode,,,https://images.unsplash.com/photo-1600607687920-4e2a09cf159d?auto=format&fit=crop&w=1200&q=80,"DEMO RENTAL for Medosha testing. 3-bedroom villa in Old Airport, Addis Ababa. Sample market-style record; not a verified live rental."
RENT-DEMO-007,4 Bedroom Condominium for Rent – Megenagna,rent,Condominium,Megenagna,Addis Ababa,45000,ETB,4,4,1,135,False,False,False,agent_demo_07,sample,unverified_demo,True,approximate,demo_neighborhood_geocode,,,https://images.unsplash.com/photo-1600607687920-4e2a09cf159d?auto=format&fit=crop&w=1200&q=80,"DEMO RENTAL for Medosha testing. 4-bedroom condominium in Megenagna, Addis Ababa. Sample market-style record; not a verified live rental."
RENT-DEMO-008,4 Bedroom Serviced Apartment for Rent – CMC,rent,Serviced Apartment,CMC,Addis Ababa,50000,ETB,4,4,2,150,False,False,False,agent_demo_08,sample,unverified_demo,True,approximate,demo_neighborhood_geocode,,,https://images.unsplash.com/photo-1600607687920-4e2a09cf159d?auto=format&fit=crop&w=1200&q=80,"DEMO RENTAL for Medosha testing. 4-bedroom serviced apartment in CMC, Addis Ababa. Sample market-style record; not a verified live rental."
RENT-DEMO-009,Furnished 5 Bedroom Apartment for Rent – Summit,rent,Apartment,Summit,Addis Ababa,60000,ETB,5,4,3,165,True,False,False,agent_demo_09,sample,unverified_demo,True,approximate,demo_neighborhood_geocode,,,https://images.unsplash.com/photo-1600607687920-4e2a09cf159d?auto=format&fit=crop&w=1200&q=80,"DEMO RENTAL for Medosha testing. 5-bedroom apartment in Summit, Addis Ababa. Sample market-style record; not a verified live rental."
RENT-DEMO-010,Furnished 3 Bedroom Villa for Rent – Ayat,rent,Villa,Ayat,Addis Ababa,300000,ETB,3,3,3,280,True,False,False,agent_demo_10,sample,unverified_demo,True,approximate,demo_neighborhood_geocode,,,https://images.unsplash.com/photo-1600607687920-4e2a09cf159d?auto=format&fit=crop&w=1200&q=80,"DEMO RENTAL for Medosha testing. 3-bedroom villa in Ayat, Addis Ababa. Sample market-style record; not a verified live rental."
