property_id,title,property_type,location,city,price_etb,bedrooms,bathrooms,parking_spaces,area_m2,agent_id,listing_status,verification_status,is_sample,source_type,source_url,image_url,description
DEMO-001,3 Bedroom Condo,Apartment,"Summit Condo, Bole",Addis Ababa,8300000.0,3.0,1.0,2.0,,agent_demo_01,sample,unverified_demo,True,public-market-reference,https://ethiopiapropertycentre.com/for-sale/addis-ababa,https://images.unsplash.com/photo-1600607687920-4e2a09cf159d?auto=format&fit=crop&w=1200&q=80,"DEMO LISTING for Medosha testing. 3 Bedroom Condo in Summit Condo, Bole, Addis Ababa. This record is sample data inspired by Ethiopian property-market categories and must not be presented as a verified live listing."
DEMO-002,Luxury 2 Bedroom Apartment,Apartment,Bole Japan,Addis Ababa,21999999.0,2.0,2.0,1.0,119.0,agent_demo_02,sample,unverified_demo,True,public-market-reference,https://ethiopiapropertycentre.com/for-sale/addis-ababa,https://images.unsplash.com/photo-1600607687920-4e2a09cf159d?auto=format&fit=crop&w=1200&q=80,"DEMO LISTING for Medosha testing. Luxury 2 Bedroom Apartment in Bole Japan, Addis Ababa. This record is sample data inspired by Ethiopian property-market categories and must not be presented as a verified live listing."
DEMO-003,Luxurious Spacious 3 Bed Apartment,Apartment,Bole Atlas,Addis Ababa,48000000.0,3.0,3.0,1.0,240.0,agent_demo_03,sample,unverified_demo,True,public-market-reference,https://ethiopiapropertycentre.com/for-sale/addis-ababa,https://images.unsplash.com/photo-1600607687920-4e2a09cf159d?auto=format&fit=crop&w=1200&q=80,"DEMO LISTING for Medosha testing. Luxurious Spacious 3 Bed Apartment in Bole Atlas, Addis Ababa. This record is sample data inspired by Ethiopian property-market categories and must not be presented as a verified live listing."
DEMO-004,Luxury 2 Bedroom Apartment,Apartment,Gerji,Addis Ababa,17999999.0,2.0,2.0,1.0,113.0,agent_demo_04,sample,unverified_demo,True,public-market-reference,https://ethiopiapropertycentre.com/for-sale/addis-ababa,https://images.unsplash.com/photo-1600607687920-4e2a09cf159d?auto=format&fit=crop&w=1200&q=80,"DEMO LISTING for Medosha testing. Luxury 2 Bedroom Apartment in Gerji, Addis Ababa. This record is sample data inspired by Ethiopian property-market categories and must not be presented as a verified live listing."
DEMO-005,Luxury 3 Bedroom Apartment,Apartment,Bole Denbel / Meskel Flower,Addis Ababa,26299000.0,3.0,3.0,1.0,155.0,agent_demo_05,sample,unverified_demo,True,public-market-reference,https://ethiopiapropertycentre.com/for-sale/addis-ababa,https://images.unsplash.com/photo-1600607687920-4e2a09cf159d?auto=format&fit=crop&w=1200&q=80,"DEMO LISTING for Medosha testing. Luxury 3 Bedroom Apartment in Bole Denbel / Meskel Flower, Addis Ababa. This record is sample data inspired by Ethiopian property-market categories and must not be presented as a verified live listing."
DEMO-006,2 Bedroom Condominium,Apartment,Gerji,Addis Ababa,8000000.0,2.0,1.0,1.0,,agent_demo_06,sample,unverified_demo,True,public-market-reference,https://ethiopiapropertycentre.com/for-sale/addis-ababa,https://images.unsplash.com/photo-1600607687920-4e2a09cf159d?auto=format&fit=crop&w=1200&q=80,"DEMO LISTING for Medosha testing. 2 Bedroom Condominium in Gerji, Addis Ababa. This record is sample data inspired by Ethiopian property-market categories and must not be presented as a verified live listing."
DEMO-007,Duplex Penthouse Type Apartment,Apartment,Bole Wollo Sefer,Addis Ababa,149000000.0,4.0,3.0,2.0,630.0,agent_demo_07,sample,unverified_demo,True,public-market-reference,https://ethiopiapropertycentre.com/for-sale/addis-ababa,https://images.unsplash.com/photo-1600607687920-4e2a09cf159d?auto=format&fit=crop&w=1200&q=80,"DEMO LISTING for Medosha testing. Duplex Penthouse Type Apartment in Bole Wollo Sefer, Addis Ababa. This record is sample data inspired by Ethiopian property-market categories and must not be presented as a verified live listing."
DEMO-008,Luxury 2 Bedroom Furnished Apartment,Apartment,Kazanchis,Addis Ababa,23181818.0,2.0,3.0,1.0,125.0,agent_demo_08,sample,unverified_demo,True,public-market-reference,https://ethiopiapropertycentre.com/for-sale/addis-ababa,https://images.unsplash.com/photo-1600607687920-4e2a09cf159d?auto=format&fit=crop&w=1200&q=80,"DEMO LISTING for Medosha testing. Luxury 2 Bedroom Furnished Apartment in Kazanchis, Addis Ababa. This record is sample data inspired by Ethiopian property-market categories and must not be presented as a verified live listing."
DEMO-009,Luxury 3 Bedroom Apartment,Apartment,Sarbet,Addis Ababa,24999999.0,3.0,2.0,1.0,163.0,agent_demo_09,sample,unverified_demo,True,public-market-reference,https://ethiopiapropertycentre.com/for-sale/addis-ababa,https://images.unsplash.com/photo-1600607687920-4e2a09cf159d?auto=format&fit=crop&w=1200&q=80,"DEMO LISTING for Medosha testing. Luxury 3 Bedroom Apartment in Sarbet, Addis Ababa. This record is sample data inspired by Ethiopian property-market categories and must not be presented as a verified live listing."
DEMO-010,Mini Flat Development,Apartment,Alem Bank,Addis Ababa,4300000.0,1.0,1.0,0.0,,agent_demo_10,sample,unverified_demo,True,public-market-reference,https://ethiopiapropertycentre.com/for-sale/addis-ababa,https://images.unsplash.com/photo-1600607687920-4e2a09cf159d?auto=format&fit=crop&w=1200&q=80,"DEMO LISTING for Medosha testing. Mini Flat Development in Alem Bank, Addis Ababa. This record is sample data inspired by Ethiopian property-market categories and must not be presented as a verified live listing."
